,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000028954,1563,1078,1082,802,983,1303,732,780,881,841,1026,1331
ENSMUSG00000028955,143,166,252,218,214,149,191,201,188,206,262,250
ENSMUSG00000028957,261,313,289,301,273,287,231,257,223,277,450,345
ENSMUSG00000028958,150,113,104,111,181,145,92,88,110,126,146,167
ENSMUSG00000028959,499,385,349,394,407,401,298,337,271,340,559,480
ENSMUSG00000028960,2211,1763,1598,1369,1603,1936,1217,1301,1439,1397,1669,2245
ENSMUSG00000028961,401,308,421,257,364,327,233,271,289,291,274,425
ENSMUSG00000028962,177,339,373,254,331,173,270,153,327,296,267,325
ENSMUSG00000028963,0,0,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000028964,962,801,1022,852,934,896,742,829,858,935,974,995
ENSMUSG00000028965,0,1,1,5,4,6,2,3,1,1,4,1
ENSMUSG00000028967,316,300,432,344,352,399,227,155,265,289,438,469
ENSMUSG00000028969,605,470,471,421,554,516,397,351,453,447,537,579
ENSMUSG00000028970,41,34,57,33,45,30,37,22,36,48,56,64
ENSMUSG00000028971,30,24,25,36,24,55,27,3,0,9,45,22
ENSMUSG00000028972,0,0,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000028973,292,268,286,243,226,242,201,200,189,200,260,263
ENSMUSG00000028974,429,367,361,303,357,383,287,285,258,330,443,443
ENSMUSG00000028975,380,305,297,315,335,375,220,199,264,270,354,367
ENSMUSG00000028976,87,64,65,68,60,63,44,62,40,39,57,70
ENSMUSG00000028977,23,25,47,19,39,38,33,72,91,39,38,33
ENSMUSG00000028978,90,110,154,112,170,108,82,110,115,122,164,171
ENSMUSG00000028979,2,1,2,1,5,3,1,2,4,1,1,0
ENSMUSG00000028980,124,113,124,113,98,133,96,96,95,106,150,144
ENSMUSG00000028982,168,220,340,288,357,235,275,270,362,390,396,389
ENSMUSG00000028986,756,639,784,482,683,836,509,741,662,597,775,865
ENSMUSG00000028988,421,326,462,367,451,402,339,295,528,399,529,438
ENSMUSG00000028989,3,2,7,3,6,8,3,7,1,0,4,6
ENSMUSG00000028990,121,84,133,91,129,125,73,80,76,88,147,131
ENSMUSG00000028991,2416,1784,1760,1479,1762,2154,1269,1310,1389,1416,1785,2306
ENSMUSG00000028992,59,65,75,53,79,70,84,49,66,71,97,91
ENSMUSG00000028995,406,335,431,395,295,349,299,408,246,344,475,386
ENSMUSG00000028996,0,0,0,0,0,0,3,0,6,0,3,0
ENSMUSG00000028998,409,430,511,444,430,365,418,479,427,503,645,491
ENSMUSG00000028999,214,173,188,161,204,193,161,170,171,182,207,183
ENSMUSG00000029001,799,622,814,628,855,704,568,523,665,731,790,820
ENSMUSG00000029003,39,52,67,24,73,66,30,49,60,47,51,62
ENSMUSG00000029004,2851,2358,2296,2502,2612,3100,1613,1675,1860,2226,3303,3017
ENSMUSG00000029005,14,7,10,9,13,2,10,6,9,10,6,14
ENSMUSG00000029007,156,129,193,124,168,139,146,166,172,147,107,164
ENSMUSG00000029009,209,176,165,224,222,199,137,151,161,187,252,195
ENSMUSG00000029012,235,217,256,185,215,226,157,151,214,190,243,263
ENSMUSG00000029014,456,392,456,301,419,481,297,378,304,365,474,501
ENSMUSG00000029015,3,3,4,1,3,0,2,2,7,0,1,3
ENSMUSG00000029016,1097,875,999,738,955,1070,730,688,1069,841,962,1316
ENSMUSG00000029017,512,432,588,428,613,456,411,465,487,539,715,588
ENSMUSG00000029019,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000029020,2924,2198,2325,2078,2268,2648,1774,1615,2003,1804,2255,2698
ENSMUSG00000029022,50,32,38,46,38,29,46,37,29,36,45,35
ENSMUSG00000029026,13,27,14,30,15,12,24,16,18,7,17,25
ENSMUSG00000029027,33,15,32,20,28,19,27,15,13,27,29,26
ENSMUSG00000029028,791,552,509,457,564,665,347,379,431,441,601,698
ENSMUSG00000029029,152,164,142,136,124,147,122,86,109,116,172,139
ENSMUSG00000029030,1775,1642,1917,1555,1741,1643,1386,1594,1631,1692,1934,1827
ENSMUSG00000029032,10,7,12,0,13,5,14,12,16,11,14,7
ENSMUSG00000029033,1312,1130,721,1245,931,1243,758,491,368,663,1370,1039
ENSMUSG00000029034,170,127,144,125,148,152,112,111,135,134,142,187
ENSMUSG00000029036,281,226,282,178,273,265,190,192,209,222,307,312
ENSMUSG00000029038,779,694,725,675,707,709,554,601,527,606,867,691
ENSMUSG00000029044,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000029047,123,85,117,67,106,99,71,70,70,119,83,143
ENSMUSG00000029048,633,542,643,566,638,538,464,610,592,602,743,736
ENSMUSG00000029049,44,39,61,29,51,35,21,34,34,25,63,51
ENSMUSG00000029050,3328,2530,2345,2715,2375,3239,1851,2113,1055,1959,3422,2899
ENSMUSG00000029053,3047,2757,2111,2750,2516,2982,2050,2133,1408,2068,3198,2681
ENSMUSG00000029054,225,409,122,449,445,272,481,335,166,359,391,240
ENSMUSG00000029055,830,773,533,817,693,767,676,237,443,522,718,601
ENSMUSG00000029056,193,179,179,119,220,193,183,176,182,186,268,272
ENSMUSG00000029059,433,409,505,392,480,389,359,409,425,381,531,492
ENSMUSG00000029060,755,570,526,531,622,648,380,324,469,551,659,769
ENSMUSG00000029061,3,2,6,6,4,3,6,9,10,2,3,8
ENSMUSG00000029062,1011,728,766,761,778,986,494,518,589,658,907,956
ENSMUSG00000029063,533,423,492,441,463,405,378,356,340,416,537,537
ENSMUSG00000029064,9746,8094,7751,8233,8548,9654,7242,5623,6658,7167,10240,9728
ENSMUSG00000029066,355,333,409,368,440,341,346,360,335,402,507,391
ENSMUSG00000029068,177,151,191,158,205,152,163,193,174,200,278,203
ENSMUSG00000029070,39,42,54,34,31,34,32,25,56,30,37,58
ENSMUSG00000029071,715,593,618,622,662,675,513,467,515,575,798,658
ENSMUSG00000029072,0,2,2,2,3,1,3,3,1,5,2,3
ENSMUSG00000029073,201,152,215,160,156,213,129,136,193,154,135,224
ENSMUSG00000029074,2,3,0,0,0,0,1,1,1,3,1,0
ENSMUSG00000029075,3,0,2,1,3,0,0,2,3,5,6,1
ENSMUSG00000029076,2546,2351,2565,2384,2726,2702,2015,2049,2055,2252,3088,2963
ENSMUSG00000029082,2,0,1,3,2,2,1,3,3,1,0,0
ENSMUSG00000029084,49,40,165,93,133,40,118,124,221,122,93,128
ENSMUSG00000029086,81,86,138,97,128,91,106,79,101,118,173,151
ENSMUSG00000029088,856,682,899,744,1320,1013,793,718,1073,1049,1185,1208
ENSMUSG00000029089,75,77,92,85,54,55,78,73,74,74,113,86
ENSMUSG00000029090,250,209,221,197,175,250,158,156,222,173,220,363
ENSMUSG00000029092,3,0,2,1,0,2,0,0,0,2,2,0
ENSMUSG00000029093,819,613,574,513,696,736,503,553,745,552,596,780
ENSMUSG00000029094,382,317,471,395,516,421,386,298,465,401,561,522
ENSMUSG00000029095,1530,1392,979,861,865,1229,919,1243,557,675,1036,1172
ENSMUSG00000029096,61,42,89,58,59,59,51,63,58,68,72,79
ENSMUSG00000029097,51,55,53,40,63,57,41,36,44,42,79,56
ENSMUSG00000029098,270,308,326,325,334,361,272,223,349,302,444,399
ENSMUSG00000029101,702,529,389,377,289,592,370,308,245,239,305,495
ENSMUSG00000029102,1,0,0,1,0,0,0,0,1,2,3,0
ENSMUSG00000029103,2715,1936,2016,1466,1735,2197,1376,1684,1499,1335,1769,2356
ENSMUSG00000029104,2737,2489,1944,2166,2372,2712,1711,1445,1748,1765,2478,2637
ENSMUSG00000029106,4830,3937,3218,3400,3425,4246,2740,2492,2172,2745,3992,4249
ENSMUSG00000029108,4837,4479,3456,3259,3399,4072,2344,2269,2089,2543,4204,4082
ENSMUSG00000029110,790,677,703,598,722,805,509,499,575,591,789,851
ENSMUSG00000029111,213,153,215,163,210,187,145,151,192,174,260,213
ENSMUSG00000029112,0,0,5,0,0,0,0,0,0,0,0,1
ENSMUSG00000029119,535,376,493,317,454,448,319,356,467,412,416,539
ENSMUSG00000029120,8069,7193,5419,7925,6784,7796,5488,4876,3348,5362,8502,7119
ENSMUSG00000029121,2058,1473,1136,1364,1225,1917,960,648,728,909,1275,1713
ENSMUSG00000029122,77,69,100,95,79,62,62,75,71,82,82,90
ENSMUSG00000029123,98,72,157,25,62,56,42,141,123,62,34,111
ENSMUSG00000029125,204,210,234,176,206,202,181,176,173,197,209,227
ENSMUSG00000029126,2504,2359,2663,1879,2693,2392,2027,2543,2584,2264,2237,3010
ENSMUSG00000029127,71,55,47,53,69,63,48,37,47,45,82,68
ENSMUSG00000029128,320,276,272,229,330,271,221,287,277,306,352,321
ENSMUSG00000029130,111,81,77,54,71,82,52,50,47,76,99,101
ENSMUSG00000029131,1700,1401,1465,1367,1508,1669,962,888,1003,1153,1679,1727
ENSMUSG00000029134,10,10,12,5,8,14,5,8,1,5,28,5
ENSMUSG00000029135,706,536,759,749,985,1275,330,185,119,478,1206,1154
ENSMUSG00000029136,19,9,21,16,25,19,13,16,16,11,15,15
ENSMUSG00000029138,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000029141,573,374,392,323,415,456,257,273,288,337,474,495
ENSMUSG00000029145,271,202,274,217,232,263,191,155,182,186,261,295
ENSMUSG00000029146,398,328,358,323,303,353,267,238,304,282,364,444
ENSMUSG00000029147,846,676,668,568,595,791,422,428,524,487,670,785
ENSMUSG00000029148,697,537,675,528,709,652,508,370,514,584,710,838
ENSMUSG00000029149,4,1,2,4,1,1,3,4,9,3,1,1
ENSMUSG00000029151,909,789,366,428,374,595,294,108,66,257,490,509
ENSMUSG00000029152,4179,3620,4107,3438,4211,4102,2961,3077,3110,3356,4377,4384
ENSMUSG00000029153,638,742,654,689,777,709,577,353,395,546,822,631
ENSMUSG00000029154,17,14,8,30,20,15,19,4,12,15,30,30
ENSMUSG00000029155,16,20,0,10,16,0,6,1,29,1,5,4
ENSMUSG00000029156,578,488,577,565,637,573,517,580,457,442,704,606
ENSMUSG00000029158,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000029161,253,141,217,81,155,160,187,232,211,150,144,168
ENSMUSG00000029162,68,47,82,57,78,58,50,63,67,50,72,61
ENSMUSG00000029163,53,31,63,21,11,37,18,15,33,28,21,66
ENSMUSG00000029165,121,103,168,85,113,131,103,135,127,93,103,124
ENSMUSG00000029166,2291,1724,1538,1379,1710,2054,995,908,1143,1283,1858,2204
ENSMUSG00000029167,1181,978,1237,910,1294,1293,962,868,987,1096,1346,1654
ENSMUSG00000029168,542,280,390,159,340,431,165,256,565,286,270,526
ENSMUSG00000029169,773,751,908,688,877,816,634,617,682,689,977,1112
ENSMUSG00000029171,73,42,84,84,95,87,60,58,67,86,94,82
ENSMUSG00000029173,128,132,207,138,177,120,95,89,124,128,192,185
ENSMUSG00000029174,348,271,346,366,421,409,241,142,250,355,553,482
ENSMUSG00000029175,257,280,296,256,281,289,183,172,225,205,309,333
ENSMUSG00000029176,634,438,532,407,517,517,374,336,411,383,524,662
ENSMUSG00000029177,12,12,12,16,16,12,8,5,2,21,24,11
ENSMUSG00000029178,509,498,620,654,570,569,529,410,458,532,683,663
ENSMUSG00000029179,82,79,119,75,98,74,96,74,73,63,116,114
ENSMUSG00000029182,2,9,3,2,5,0,5,0,15,0,5,0
ENSMUSG00000029184,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000029185,77,50,115,63,106,74,61,39,81,77,77,95
ENSMUSG00000029186,14,13,35,30,24,32,17,22,23,15,20,29
ENSMUSG00000029188,1,0,1,0,0,3,0,0,1,0,0,0
ENSMUSG00000029189,504,563,333,613,713,627,456,188,374,574,830,657
ENSMUSG00000029190,1719,1453,1622,1473,1579,1801,1301,1291,1337,1332,1905,1912
ENSMUSG00000029191,623,487,523,475,536,559,365,412,403,403,576,653
ENSMUSG00000029192,868,761,822,795,835,808,601,511,525,643,883,1000
ENSMUSG00000029193,0,0,6,0,1,0,8,16,30,6,4,3
ENSMUSG00000029195,0,0,1,3,1,0,1,0,0,1,4,0
ENSMUSG00000029196,453,417,421,420,409,468,324,276,340,354,440,497
ENSMUSG00000029198,262,233,327,289,277,236,239,244,240,308,377,358
ENSMUSG00000029199,252,246,315,254,309,300,218,211,264,287,292,340
ENSMUSG00000029201,209,187,235,201,217,192,152,190,202,203,260,237
ENSMUSG00000029202,876,824,797,818,789,845,582,597,590,570,984,963
ENSMUSG00000029203,1554,1281,1344,1273,1385,1502,1003,969,919,1076,1556,1637
ENSMUSG00000029204,14,6,12,9,8,3,6,16,2,10,12,4
ENSMUSG00000029205,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000029206,65,64,64,34,58,42,42,58,52,56,67,45
ENSMUSG00000029207,1123,1232,1163,999,1369,1109,1049,636,1045,1057,1189,1290
ENSMUSG00000029208,166,139,224,170,223,164,177,185,179,216,311,192
ENSMUSG00000029209,151,168,231,153,216,152,158,202,205,200,256,209
ENSMUSG00000029211,1153,1216,932,1396,1733,1359,2168,1198,1164,1699,1578,1269
ENSMUSG00000029212,5396,3851,3870,3025,3453,4490,2884,2715,2755,2865,3644,4500
ENSMUSG00000029213,442,360,408,366,362,383,326,331,274,337,426,397
ENSMUSG00000029217,22,24,41,16,36,26,21,30,28,27,24,26
ENSMUSG00000029219,3,12,215,0,18,3,20,159,232,7,4,132
ENSMUSG00000029221,1492,1307,1623,1472,1517,1438,1253,1182,1427,1394,1593,1726
ENSMUSG00000029223,6448,5169,5884,4135,5365,5345,4913,4221,5720,4937,4317,5523
ENSMUSG00000029227,1705,1171,1306,924,1161,1377,783,949,939,956,1366,1495
ENSMUSG00000029228,122,124,129,77,120,144,114,99,119,95,107,140
ENSMUSG00000029229,145,136,160,144,177,162,147,146,140,130,245,187
ENSMUSG00000029231,1068,782,1004,564,677,853,573,656,657,558,662,1033
ENSMUSG00000029233,160,182,163,140,141,181,111,110,113,124,141,165
ENSMUSG00000029234,245,168,254,218,227,234,168,141,179,225,222,274
ENSMUSG00000029235,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029236,0,0,3,0,1,0,1,0,0,0,0,0
ENSMUSG00000029238,1917,1651,1655,1553,1931,1916,1337,1270,1421,1516,2259,2044
ENSMUSG00000029245,2263,1473,1290,1331,1517,2240,918,1148,944,1059,1698,2141
ENSMUSG00000029246,296,212,197,171,196,281,160,128,143,159,234,266
ENSMUSG00000029247,848,787,1131,797,1047,960,817,779,877,918,1209,1135
ENSMUSG00000029248,2,6,3,2,1,4,0,5,2,1,9,2
ENSMUSG00000029249,155,133,245,163,162,184,136,116,190,157,199,173
ENSMUSG00000029250,978,792,902,751,857,1002,614,623,762,578,980,1185
ENSMUSG00000029253,331,267,400,224,305,285,221,285,311,325,389,367
ENSMUSG00000029254,0,1,0,3,2,0,1,1,0,0,1,0
ENSMUSG00000029255,1,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000029260,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029263,283,274,291,221,276,294,168,201,194,218,330,313
ENSMUSG00000029265,498,444,523,410,520,555,339,316,364,393,577,570
ENSMUSG00000029267,336,324,356,315,363,348,250,285,207,283,502,372
ENSMUSG00000029268,3,0,0,0,0,0,1,0,0,0,2,0
ENSMUSG00000029269,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029270,284,179,229,180,226,226,186,175,135,204,262,241
ENSMUSG00000029272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029273,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029275,0,0,1,0,1,0,0,0,0,0,0,0
ENSMUSG00000029276,107,110,133,111,133,109,98,111,107,124,179,122
ENSMUSG00000029279,228,191,210,197,234,244,159,137,97,166,277,253
ENSMUSG00000029280,0,0,1,0,0,0,0,0,0,0,2,0
ENSMUSG00000029281,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029283,82,53,100,53,101,70,49,71,57,77,96,60
ENSMUSG00000029286,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029287,306,273,437,248,215,289,200,189,250,228,247,462
ENSMUSG00000029288,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000029290,352,264,377,308,350,372,209,281,278,348,566,400
ENSMUSG00000029291,2447,2050,2568,1868,2423,2373,1844,1810,2370,1995,2607,3135
ENSMUSG00000029298,53,52,80,46,79,76,60,67,53,51,71,86
ENSMUSG00000029299,6,0,6,3,10,2,5,5,2,0,7,6
ENSMUSG00000029304,148,72,1013,34,101,105,164,117,575,129,58,340
ENSMUSG00000029306,2,7,8,1,0,2,5,0,1,3,2,4
ENSMUSG00000029307,90,85,132,89,133,100,89,59,84,139,126,118
ENSMUSG00000029309,29163,23515,37543,27537,33325,27183,25594,25133,35758,33896,36837,35858
ENSMUSG00000029310,720,584,708,656,711,699,486,466,626,656,743,799
ENSMUSG00000029311,479,360,509,358,416,376,339,413,377,362,422,518
ENSMUSG00000029312,362,319,283,242,351,364,209,252,202,295,394,403
ENSMUSG00000029313,352,334,497,427,375,421,376,312,348,392,397,559
ENSMUSG00000029314,42,33,47,27,51,50,43,59,55,39,47,90
ENSMUSG00000029319,441,393,467,479,488,381,385,373,392,423,624,508
ENSMUSG00000029320,0,0,0,0,0,0,0,1,0,0,3,0
ENSMUSG00000029321,1,0,0,0,0,0,0,0,0,0,6,0
ENSMUSG00000029322,3,1,3,0,0,0,2,0,0,1,3,1
ENSMUSG00000029326,416,341,425,330,361,376,252,247,278,281,420,418
ENSMUSG00000029328,1371,1149,1232,1217,1429,1394,1016,980,923,1165,1700,1425
ENSMUSG00000029330,855,770,654,678,1058,995,523,343,501,635,1140,1219
ENSMUSG00000029331,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000029334,452,235,281,181,286,316,321,193,268,293,214,281
ENSMUSG00000029335,1221,647,250,202,204,870,168,98,68,161,360,584
ENSMUSG00000029337,27,37,30,28,18,22,12,9,3,21,43,22
ENSMUSG00000029338,30,24,16,20,16,30,25,12,17,23,27,46
ENSMUSG00000029343,32,41,46,45,41,44,24,36,24,44,43,33
ENSMUSG00000029344,253,176,171,191,168,188,136,98,110,158,228,203
ENSMUSG00000029345,852,631,559,515,574,695,393,365,448,459,563,793
ENSMUSG00000029346,121,76,79,86,95,116,77,106,68,89,140,118
ENSMUSG00000029348,549,605,430,545,444,571,351,398,200,367,578,564
ENSMUSG00000029352,5,4,4,1,12,6,6,2,3,6,6,3
ENSMUSG00000029359,282,286,195,181,153,222,187,296,71,98,208,144
ENSMUSG00000029360,1,7,0,2,2,0,3,9,3,1,8,0
ENSMUSG00000029361,5364,2241,3250,1024,1191,3250,1052,1666,1218,1189,1229,2539
ENSMUSG00000029363,87,58,59,52,55,52,57,28,29,55,74,74
ENSMUSG00000029364,2264,1883,1539,1830,1588,1888,1421,1295,944,1290,2077,1730
ENSMUSG00000029366,208,210,180,158,256,218,149,140,157,177,191,268
ENSMUSG00000029368,0,0,0,0,0,0,0,0,0,0,2,1
ENSMUSG00000029369,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029370,13,6,12,4,19,10,18,8,25,17,11,13
ENSMUSG00000029371,3,6,13,19,9,6,16,0,4,11,14,14
ENSMUSG00000029372,12,0,7,4,1,4,5,4,1,2,0,2
ENSMUSG00000029373,23,9,19,11,7,10,6,13,10,9,16,11
ENSMUSG00000029375,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029376,105,93,146,69,145,68,112,168,210,157,165,177
ENSMUSG00000029377,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029378,0,2,0,3,2,0,0,0,3,0,3,0
ENSMUSG00000029379,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029380,0,0,0,0,1,0,3,0,0,0,2,0
ENSMUSG00000029381,78,92,113,113,166,102,160,65,234,153,120,110
ENSMUSG00000029384,1,0,1,0,2,0,2,2,1,1,1,2
ENSMUSG00000029385,291,333,261,292,308,322,234,287,159,236,468,384
ENSMUSG00000029386,267,257,221,165,213,269,187,200,161,181,268,298
ENSMUSG00000029387,92,82,93,89,99,75,96,72,70,80,114,116
ENSMUSG00000029388,157,132,157,134,137,159,117,132,123,122,129,148
ENSMUSG00000029389,172,143,166,127,179,156,101,128,137,157,206,205
ENSMUSG00000029390,1052,919,1051,984,1071,857,775,835,834,856,1299,1144
ENSMUSG00000029392,902,682,564,492,495,698,302,311,223,362,654,727
ENSMUSG00000029394,440,555,545,658,613,519,407,376,485,549,887,631
ENSMUSG00000029397,270,206,308,240,254,241,229,170,241,258,350,310
ENSMUSG00000029401,106,97,107,78,63,99,64,55,44,71,88,81
ENSMUSG00000029402,163,149,183,147,153,203,130,127,159,186,215,195
ENSMUSG00000029403,632,440,481,391,453,541,334,355,371,337,491,558
ENSMUSG00000029404,354,237,283,319,300,271,235,235,271,262,350,325
ENSMUSG00000029405,4579,3405,3447,2539,3270,4035,2113,2524,2793,2441,3336,4702
ENSMUSG00000029406,5207,4971,3485,5137,3955,4900,3303,3491,1175,3373,5581,4539
ENSMUSG00000029407,1040,905,1030,849,1032,1099,783,733,879,818,1115,1277
ENSMUSG00000029408,276,359,239,269,343,309,246,257,215,211,306,392
ENSMUSG00000029409,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029410,2,5,4,0,3,1,1,0,4,5,0,1
ENSMUSG00000029413,297,262,270,306,241,305,207,211,151,213,339,341
ENSMUSG00000029414,3,5,1,2,4,5,0,2,4,2,10,7
ENSMUSG00000029415,229,185,245,185,228,272,156,176,210,209,250,326
ENSMUSG00000029416,134,129,189,167,167,147,117,115,147,155,187,165
ENSMUSG00000029417,0,0,4,1,0,0,3,0,0,0,2,2
ENSMUSG00000029419,1687,1347,1083,1271,1172,1431,1111,948,678,1026,1430,1289
ENSMUSG00000029420,2489,1983,1015,1815,1579,2370,1019,1006,770,1231,2385,2003
ENSMUSG00000029422,1186,854,986,849,1013,1011,680,686,742,962,1194,1041
ENSMUSG00000029423,3,3,1,2,0,0,0,2,4,1,2,4
ENSMUSG00000029426,1991,1716,2541,1902,2250,1971,1656,1714,2186,1871,2444,2669
ENSMUSG00000029427,244,209,193,219,264,236,182,192,152,185,316,265
ENSMUSG00000029428,105,86,95,81,90,64,78,52,78,80,116,97
ENSMUSG00000029430,1595,1311,1441,1079,1438,1388,1018,1107,1272,1242,1612,1522
ENSMUSG00000029431,8,2,2,3,2,4,6,6,15,5,2,5
ENSMUSG00000029432,689,613,659,636,814,683,581,703,626,764,975,870
ENSMUSG00000029433,120,126,179,143,152,96,96,115,133,99,147,160
ENSMUSG00000029434,1133,1071,942,932,955,1202,702,663,690,794,1087,1290
ENSMUSG00000029436,2055,2430,1286,1992,1612,1954,1070,1011,307,995,2166,1809
ENSMUSG00000029437,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029438,1301,1025,662,776,784,1202,528,465,384,616,781,1027
ENSMUSG00000029439,520,404,437,419,444,376,299,314,292,368,631,463
ENSMUSG00000029440,209,188,181,159,157,150,130,120,131,125,236,190
ENSMUSG00000029442,163,95,64,25,32,112,21,22,45,16,62,78
ENSMUSG00000029445,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000029446,146,154,163,168,170,141,153,152,126,117,256,154
ENSMUSG00000029447,1607,1251,1557,1122,1451,1472,1031,1082,1121,1137,1496,1666
ENSMUSG00000029449,582,377,365,252,299,463,176,206,210,220,380,480
ENSMUSG00000029451,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000029452,19,19,20,16,11,24,3,12,9,10,12,10
ENSMUSG00000029454,233,251,172,203,225,241,134,160,137,185,224,252
ENSMUSG00000029455,983,882,1170,993,1130,940,865,790,988,992,1173,1253
ENSMUSG00000029456,16,6,24,20,15,14,19,15,17,11,28,13
ENSMUSG00000029458,839,707,645,661,712,818,557,453,469,564,871,854
ENSMUSG00000029461,3696,3533,3118,3368,3584,3812,2895,2323,2668,3049,3625,4227
ENSMUSG00000029462,958,957,1261,1246,1344,989,1104,1066,1058,1181,1817,1245
ENSMUSG00000029463,433,367,426,336,399,436,287,417,394,397,443,471
ENSMUSG00000029464,164,183,192,145,181,132,150,190,158,184,207,213
ENSMUSG00000029465,999,960,942,1024,1117,1209,697,608,560,802,1357,1072
ENSMUSG00000029466,377,319,365,285,309,302,280,224,298,300,337,380
ENSMUSG00000029467,10962,10869,8557,10400,12173,12632,9446,5944,8269,8634,11187,14276
ENSMUSG00000029468,155,108,177,153,187,128,138,119,153,147,175,170
ENSMUSG00000029469,542,380,502,395,539,534,341,356,422,476,674,574
ENSMUSG00000029470,96,84,139,152,160,121,85,72,139,120,204,121
ENSMUSG00000029471,1601,2160,796,1998,1498,1829,1160,746,417,902,2156,1440
ENSMUSG00000029472,1444,1071,1187,1030,1185,1250,968,915,971,988,1379,1306
ENSMUSG00000029474,642,563,626,525,642,601,420,470,497,430,569,722
ENSMUSG00000029475,310,256,289,248,259,293,176,189,177,224,352,351
ENSMUSG00000029477,2,8,0,0,0,0,3,0,9,1,2,0
ENSMUSG00000029478,5669,4549,4714,4913,5456,5538,3438,3220,3975,4508,6482,6134
ENSMUSG00000029480,234,198,193,137,164,193,121,116,178,161,177,249
ENSMUSG00000029482,474,318,305,318,281,477,191,98,241,207,316,403
ENSMUSG00000029484,88,84,162,91,82,67,98,94,74,79,110,103
ENSMUSG00000029486,201,146,245,182,255,216,152,230,190,224,292,276
ENSMUSG00000029490,6,6,3,3,4,3,4,1,6,8,4,4
ENSMUSG00000029491,0,0,2,1,3,1,1,0,2,2,2,5
ENSMUSG00000029499,41,30,43,55,56,26,47,59,57,60,47,33
ENSMUSG00000029500,429,292,316,241,288,345,250,226,204,208,363,411
ENSMUSG00000029501,583,488,568,417,505,503,364,437,361,419,574,682
ENSMUSG00000029502,1328,903,1056,798,1024,1166,736,682,800,825,1070,1278
ENSMUSG00000029503,1,0,3,3,0,3,0,0,0,0,2,0
ENSMUSG00000029504,184,145,158,131,149,170,122,135,151,127,160,190
ENSMUSG00000029505,3122,2443,2697,2418,2886,2815,1973,2104,2241,2529,3216,3061
ENSMUSG00000029507,133,82,95,85,93,94,64,49,73,67,108,127
ENSMUSG00000029510,4,12,21,14,14,6,13,4,16,9,14,15
ENSMUSG00000029512,1700,1326,1271,1185,1258,1484,891,824,959,1223,1612,1581
ENSMUSG00000029513,191,136,153,142,154,134,123,91,115,124,163,140
ENSMUSG00000029516,3268,3017,2683,3487,5637,3589,5274,3145,6042,5793,4642,4094
ENSMUSG00000029517,2,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000029518,860,639,637,657,661,882,482,426,432,576,775,834
ENSMUSG00000029521,11,7,20,17,17,4,11,6,26,13,15,19
ENSMUSG00000029522,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029524,63,48,60,32,58,40,49,39,46,65,81,59
